Activist,Investor ID,Investor Type,Investor Sub Type,Activist HQ,Focused,Activist Founded,Company,PID,Symbol,Date Invested,Demand Date,Demand Year,Current Holding (%),Demand Group,Demand,Response Date,Response,Seats Proposed (Gain Board Representation Only),Seats Gained (Gain Board Representation Only),Seats Gained Method  (Gain Board Representation Only),Outcome,Company HQ,Company Region,Exchange,Sector,Industry,Mkt Cap ($mn),Mkt Cap Category,Status,Exit Date,Exit Type,Price Per Share,Purchase Value (Mn),Currency,Buyer
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,"Becton, Dickinson and Company",322,BDX,22-Dec-10,16-Dec-21,2021,,Governance,Amend Company Policy,,N/A,,,N/A,Ongoing,US,North America,NYSE,Healthcare,Medical Instruments & Supplies,"71,526",Large-Cap,Current,,,,,,
The Shareholder Commons,11888,Rights/ Cause/ ESG,ESG,US,Engagement,2019,Hormel Foods Corporation,517,HRL,15-Dec-21,15-Dec-21,2021,,Social,Health,,N/A,,,N/A,Ongoing,US,North America,NYSE,Consumer Defensive,Packaged Foods,"25,777",Large-Cap,Current,,,,,,
American Baptist Home Mission Society,10673,Rights/ Cause/ ESG,Religious,US,Engagement,,Costco Wholesale Corporation,131,COST,10-Dec-21,10-Dec-21,2021,,Social,Diversity and Equality,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Defensive,Discount Stores,"241,862",Large-Cap,Current,,,,,,
"Green Century Capital Management, Inc.",228,Fund Manager,,US,Engagement,1991,Costco Wholesale Corporation,131,COST,10-Dec-21,10-Dec-21,2021,,Environmental,Climate Change & GHG Emissions,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Defensive,Discount Stores,"241,862",Large-Cap,Current,,,,,,
Mantle Ridge,5962,Investment Firm,Hedge Fund,US,Primary Focus,2016,Dollar Tree Inc.,482,DLTR,12-Nov-21,10-Dec-21,2021,5.7,Governance,Amend Company Policy,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Defensive,Discount Stores,"30,702",Large-Cap,Current,,,,,,
Mantle Ridge,5962,Investment Firm,Hedge Fund,US,Primary Focus,2016,Dollar Tree Inc.,482,DLTR,12-Nov-21,10-Dec-21,2021,5.7,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Defensive,Discount Stores,"30,702",Large-Cap,Current,,,,,,
The National Center for Public Policy Research,7934,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,1982,Costco Wholesale Corporation,131,COST,10-Dec-21,10-Dec-21,2021,,Social,Charitable Donations,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Defensive,Discount Stores,"241,862",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Walgreens Boots Alliance Inc,30733,WBA,17-Apr-15,8-Dec-21,2021,,Governance,Amend Company Policy,,N/A,,,N/A,Ongoing,US,North America,NYSE,Consumer Defensive,Pharmaceutical Retailers,"43,246",Large-Cap,Current,,,,,,
Sisters of St. Francis of Philadelphia,7171,Rights/ Cause/ ESG,Religious,US,Engagement,1971,Walgreens Boots Alliance Inc,30733,WBA,8-Dec-20,8-Dec-21,2021,,Social,Health,,N/A,,,N/A,Ongoing,US,North America,NYSE,Consumer Defensive,Pharmaceutical Retailers,"43,246",Large-Cap,Current,,,,,,
Voss Capital,6614,Investment Firm,Hedge Fund,US,Occasional,2011,Griffon Corporation,2523,GFF,15-Aug-21,23-Nov-21,2021,1.68,Governance,Board Independence,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Building Materials,"1,527",Small-Cap,Current,,,,,,
