symbol,company,pid,sector,exit_type,invest_year_ESG_1,invest_year_ESG_2,invest_year_ESG_3,invest_year_ESG_4,invest_year_ESG_5,invest_year_ESG_6,invest_year_ESG_7,invest_year_ESG_8,invest_year_ESG_9,invest_year_ESG_10,invest_year_ESG_11,comb_holding_percent_ESG_1,comb_holding_percent_ESG_2,comb_holding_percent_ESG_3,comb_holding_percent_ESG_4,comb_holding_percent_ESG_5,comb_holding_percent_ESG_6,comb_holding_percent_ESG_7,comb_holding_percent_ESG_8,comb_holding_percent_ESG_9,comb_holding_percent_ESG_10,comb_holding_percent_ESG_11,investors_ESG_1,investors_ESG_2,investors_ESG_3,investors_ESG_4,investors_ESG_5,investors_ESG_6,investors_ESG_7,investors_ESG_8,investors_ESG_9,investors_ESG_10,investors_ESG_11,invest_year_Governance_1,invest_year_Governance_2,invest_year_Governance_3,invest_year_Governance_4,invest_year_Governance_5,invest_year_Governance_6,invest_year_Governance_7,invest_year_Governance_8,invest_year_Governance_9,invest_year_Social_1,invest_year_Social_2,invest_year_Social_3,invest_year_Social_4,invest_year_Environmental_1,invest_year_Environmental_2,invest_year_Environmental_3,invest_year_Environmental_4,invest_year_Environmental_5,invest_year_Environmental_6,comb_holding_percent_Governance_1,comb_holding_percent_Governance_2,comb_holding_percent_Governance_3,comb_holding_percent_Governance_4,comb_holding_percent_Governance_5,comb_holding_percent_Governance_6,comb_holding_percent_Governance_7,comb_holding_percent_Governance_8,comb_holding_percent_Governance_9,comb_holding_percent_Social_1,comb_holding_percent_Social_2,comb_holding_percent_Social_3,comb_holding_percent_Social_4,comb_holding_percent_Environmental_1,comb_holding_percent_Environmental_2,comb_holding_percent_Environmental_3,comb_holding_percent_Environmental_4,comb_holding_percent_Environmental_5,comb_holding_percent_Environmental_6,investors_Governance_1,investors_Governance_2,investors_Governance_3,investors_Governance_4,investors_Governance_5,investors_Governance_6,investors_Governance_7,investors_Governance_8,investors_Governance_9,investors_Social_1,investors_Social_2,investors_Social_3,investors_Social_4,investors_Environmental_1,investors_Environmental_2,investors_Environmental_3,investors_Environmental_4,investors_Environmental_5,investors_Environmental_6
AA,Alcoa Corporation,36890,Basic Materials,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AABA,Altaba Inc.,212,Technology,Company Liquidated,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAIC,Arlington Asset Investment Corp,3045,Financial Services,Sold Shares,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAN,"Aaron's, Inc.",1547,Industrials,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAP,Advance Auto Parts Inc,815,Consumer Cyclical,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAPL,Apple Inc.,1,Technology,NA,1999,2005,2012,2015,2018,NA,NA,NA,NA,NA,NA,0.18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2005,2012,2015,NA,NA,NA,NA,NA,NA,1999,2005,2018,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
ABBV,AbbVie Inc.,81,Healthcare,NA,2013,2017,2018,2019,2021,NA,NA,NA,NA,NA,NA,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,2013,2017,2018,2019,2021,NA,NA,NA,NA,2013,2017,2019,NA,NA,NA,NA,NA,NA,NA,0.02,0,NA,NA,NA,NA,NA,NA,NA,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA
ABC,AmerisourceBergen Corporation (Holding Co),444,Healthcare,NA,2015,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABEO,"Abeona Therapeutics, Inc",24619,Healthcare,Sold Shares,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABMC,American Bio Medica Corp,36279,Healthcare,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
