symbol,date,returns,year
AA,2013-12-31,0.19864127427773837,2013
AA,2014-12-31,0.49812551344340905,2014
AA,2015-12-31,-0.36845475508749603,2015
AA,2016-12-30,0.2006799856957886,2016
AA,2017-12-29,0.9184472502579517,2017
AA,2018-12-31,-0.506589940592465,2018
AA,2019-12-31,-0.19074489562997288,2019
AA,2020-12-31,0.07159450717502636,2020
AA,2021-12-30,1.5743736382743672,2021
AAIC,2013-12-31,0.3931669206910884,2013
AAIC,2014-12-31,0.148013634649238,2014
AAIC,2015-12-31,-0.4400586439421391,2015
AAIC,2016-12-30,0.3382869426798971,2016
AAIC,2017-12-29,-0.05856079332748698,2017
AAIC,2018-12-31,-0.27087217092681704,2018
AAIC,2019-12-31,-0.0979762928088792,2019
AAIC,2020-12-31,-0.3213644524236985,2020
AAIC,2021-12-30,-0.07671957671957663,2021
AAN,2020-12-31,-0.28452839491498916,2020
AAN,2021-12-30,0.308031855819358,2021
AAP,2013-12-31,0.5310683212112415,2013
AAP,2014-12-31,0.4416631470352317,2014
AAP,2015-12-31,-0.05362497116314335,2015
AAP,2016-12-30,0.12536083268173992,2016
AAP,2017-12-29,-0.4092831906667981,2017
AAP,2018-12-31,0.5821685839786521,2018
AAP,2019-12-31,0.018700422086834534,2019
AAP,2020-12-31,-0.008970488712829239,2020
AAP,2021-12-30,0.5315503427591812,2021
AAPL,2013-12-31,0.04750904532988831,2013
AAPL,2014-12-31,0.406224826178208,2014
AAPL,2015-12-31,-0.030137184896973146,2015
AAPL,2016-12-30,0.12480435473700613,2016
AAPL,2017-12-29,0.48464304437058003,2017
AAPL,2018-12-31,-0.053901903566688114,2018
AAPL,2019-12-31,0.8895784100788964,2019
AAPL,2020-12-31,0.8230671544030634,2020
AAPL,2021-12-30,0.35125911532154275,2021
ABBV,2013-12-31,0.5637623802169229,2013
ABBV,2014-12-31,0.2791827274182903,2014
ABBV,2015-12-31,-0.06500767531385343,2015
ABBV,2016-12-30,0.09792024697456037,2016
ABBV,2017-12-29,0.6007486371608577,2017
ABBV,2018-12-31,-0.00956469963176032,2018
ABBV,2019-12-31,0.014681620374746629,2019
ABBV,2020-12-31,0.2771828162880854,2020
ABBV,2021-12-30,0.32944383863827387,2021
ABC,2013-12-31,0.6417324752092004,2013
ABC,2014-12-31,0.2995407624054818,2014
ABC,2015-12-31,0.16386139100650698,2015
ABC,2016-12-30,-0.2332229805172097,2016
ABC,2017-12-29,0.19512783330336947,2017
ABC,2018-12-31,-0.17569596568737644,2018
ABC,2019-12-31,0.16480691863756447,2019
ABC,2020-12-31,0.17033131299837412,2020
ABC,2021-12-30,0.3892779566346303,2021
ABEO,2013-12-31,-0.07407407407407407,2013
ABEO,2014-12-31,-0.724,2014
ABEO,2015-12-31,-0.026086956521739202,2015
ABEO,2016-12-30,0.44345238095238093,2016
ABEO,2017-12-29,2.2680412371134024,2017
ABEO,2018-12-31,-0.5495268138801261,2018
