symbol,year,date_form,returns,cum_holding_sum,cum_G_holding_sum,cum_S_holding_sum,cum_E_holding_sum
AA,2017,2017-12-31,0.9184472502579516,NA,NA,NA,NA
AA,2018,2018-12-31,-0.506589940592465,NA,NA,NA,NA
AA,2019,2019-12-31,-0.19074489562997288,NA,NA,NA,NA
AA,2020,2020-12-31,0.07159450717502636,0,0,0,0
AA,2021,2021-12-31,1.5743736382743672,NA,NA,NA,NA
AABA,2011,2011-12-31,NA,NA,NA,NA,NA
AABA,2012,2012-12-31,NA,NA,NA,NA,NA
AABA,2013,2013-12-31,NA,NA,NA,NA,NA
AABA,2014,2014-12-31,NA,0,0,0,0
AABA,2015,2015-12-31,NA,NA,NA,NA,NA
AABA,2016,2016-12-31,NA,NA,NA,NA,NA
AABA,2017,2017-12-31,NA,NA,NA,NA,NA
AABA,2018,2018-12-31,NA,NA,NA,NA,NA
AAIC,2013,2013-12-31,0.3931669206910884,NA,NA,NA,NA
AAIC,2014,2014-12-31,0.148013634649238,NA,NA,NA,NA
AAIC,2015,2015-12-31,-0.4400586439421391,NA,NA,NA,NA
AAIC,2016,2016-12-31,0.3382869426798971,0,0,0,0
AAIC,2017,2017-12-31,-0.05856079332748698,NA,NA,NA,NA
AAIC,2018,2018-12-31,-0.27087217092681704,NA,NA,NA,NA
AAIC,2019,2019-12-31,-0.0979762928088792,NA,NA,NA,NA
AAIC,2020,2020-12-31,-0.3213644524236985,NA,NA,NA,NA
AAN,2011,2011-12-31,NA,NA,NA,NA,NA
AAN,2012,2012-12-31,NA,NA,NA,NA,NA
AAN,2013,2013-12-31,NA,NA,NA,NA,NA
AAN,2014,2014-12-31,NA,0,0,0,0
AAN,2015,2015-12-31,NA,NA,NA,NA,NA
AAN,2016,2016-12-31,NA,NA,NA,NA,NA
AAN,2017,2017-12-31,NA,NA,NA,NA,NA
AAN,2018,2018-12-31,NA,NA,NA,NA,NA
AAP,2007,2007-12-31,0.0750912860200712,NA,NA,NA,NA
AAP,2008,2008-12-31,-0.10825351009308148,NA,NA,NA,NA
AAP,2009,2009-12-31,0.21009182926613248,NA,NA,NA,NA
AAP,2010,2010-12-31,0.641473263028197,0,0,0,0
AAP,2011,2011-12-31,0.05660061142472594,NA,NA,NA,NA
AAP,2012,2012-12-31,0.03035105975158458,NA,NA,NA,NA
AAP,2013,2013-12-31,0.5310683212112415,NA,NA,NA,NA
AAP,2014,2014-12-31,0.4416631470352317,NA,NA,NA,NA
AAPL,1996,1996-12-31,-0.34509882440433626,NA,NA,NA,NA
AAPL,1997,1997-12-31,-0.3712563641808925,NA,NA,NA,NA
AAPL,1998,1998-12-31,2.1190433660811747,NA,NA,NA,NA
AAPL,1999,1999-12-31,1.4503795664098047,0.18,0,0.18,0
AAPL,2000,2000-12-31,-0.7342263332271349,0.18,0,0.18,0
AAPL,2001,2001-12-31,0.472266376274491,0.18,0,0.18,0
AAPL,2002,2002-12-31,-0.345660933338503,0.18,0,0.18,0
AAPL,2003,2003-12-31,0.491275969260782,0.18,0,0.18,0
AAPL,2004,2004-12-31,2.013567579628152,0.18,0,0.18,0
AAPL,2005,2005-12-31,1.2326084972159397,0.18,0,0.18,0
AAPL,2006,2006-12-31,0.18013660203017778,0.18,0,0.18,0
AAPL,2007,2007-12-31,1.334747597694526,0.18,0,0.18,0
AAPL,2008,2008-12-31,-0.5691136733590569,0.18,0,0.18,0
AAPL,2009,2009-12-31,1.469010481236933,0.18,0,0.18,0
AAPL,2010,2010-12-31,0.5306796913053995,0.18,0,0.18,0
AAPL,2011,2011-12-31,0.25557996729726606,0.18,0,0.18,0
AAPL,2012,2012-12-31,0.2694205186202112,0.18,0,0.18,0
AAPL,2013,2013-12-31,0.04750904532988831,0.18,0,0.18,0
AAPL,2014,2014-12-31,0.406224826178208,0.18,0,0.18,0
AAPL,2015,2015-12-31,-0.03013718489697314,0.18,0,0.18,0
AAPL,2016,2016-12-31,0.12480435473700612,0.18,0,0.18,0
AAPL,2017,2017-12-31,0.48464304437058,0.18,0,0.18,0
AAPL,2018,2018-12-31,-0.05390190356668811,0.18,0,0.18,0
AAPL,2019,2019-12-31,0.8895784100788964,NA,NA,NA,NA
AAPL,2020,2020-12-31,0.8230671544030634,NA,NA,NA,NA
AAPL,2021,2021-12-31,0.35125911532154275,NA,NA,NA,NA
ABBV,2010,2010-12-31,NA,NA,NA,NA,NA
ABBV,2011,2011-12-31,NA,NA,NA,NA,NA
ABBV,2012,2012-12-31,NA,NA,NA,NA,NA
ABBV,2013,2013-12-31,0.5637623802169229,0.03,0.02,0.03,0
ABBV,2014,2014-12-31,0.2791827274182903,0.03,0.02,0.03,0
ABBV,2015,2015-12-31,-0.06500767531385343,0.03,0.02,0.03,0
ABBV,2016,2016-12-31,0.09792024697456037,0.03,0.02,0.03,0
ABBV,2017,2017-12-31,0.6007486371608577,0.03,0.02,0.03,0
ABBV,2018,2018-12-31,-0.00956469963176032,0.03,0.02,0.03,0
ABBV,2019,2019-12-31,0.01468162037474662,0.03,0.02,0.03,0
ABBV,2020,2020-12-31,0.2771828162880854,0.03,0.02,0.03,0
ABBV,2021,2021-12-31,0.32944383863827387,0.03,0.02,0.03,0
ABC,2012,2012-12-31,0.16962501184954282,NA,NA,NA,NA
ABC,2013,2013-12-31,0.6417324752092004,NA,NA,NA,NA
ABC,2014,2014-12-31,0.2995407624054818,NA,NA,NA,NA
ABC,2015,2015-12-31,0.16386139100650698,0,0,0,0
ABC,2016,2016-12-31,-0.2332229805172097,0,0,0,0
ABC,2017,2017-12-31,0.19512783330336947,0,0,0,0
ABC,2018,2018-12-31,-0.17569596568737644,0,0,0,0
ABC,2019,2019-12-31,0.16480691863756447,NA,NA,NA,NA
ABC,2020,2020-12-31,0.17033131299837412,NA,NA,NA,NA
ABC,2021,2021-12-31,0.3892779566346303,NA,NA,NA,NA
ABEO,2014,2014-12-31,-0.724,NA,NA,NA,NA
ABEO,2015,2015-12-31,-0.0260869565217392,NA,NA,NA,NA
ABEO,2016,2016-12-31,0.443452380952381,NA,NA,NA,NA
ABEO,2017,2017-12-31,2.2680412371134024,0,0,0,0
ABEO,2018,2018-12-31,-0.5495268138801261,NA,NA,NA,NA
ABEO,2019,2019-12-31,-0.542016806722689,NA,NA,NA,NA
ABEO,2020,2020-12-31,-0.5198776758409787,NA,NA,NA,NA
ABEO,2021,2021-12-31,-0.7961783439490446,NA,NA,NA,NA
ABMC,2013,2013-12-31,0,NA,NA,NA,NA
ABMC,2014,2014-12-31,0,NA,NA,NA,NA
ABMC,2015,2015-12-31,0,NA,NA,NA,NA
ABMC,2016,2016-12-31,-0.15384615384615383,4.94,4.94,0,0
ABMC,2017,2017-12-31,-0.09090909090909084,NA,NA,NA,NA
ABMC,2018,2018-12-31,-0.29999999999999993,NA,NA,NA,NA
ABMC,2019,2019-12-31,0,NA,NA,NA,NA
ABMC,2020,2020-12-31,0.857142857142857,NA,NA,NA,NA
ABT,2009,2009-12-31,0.04579111150983239,NA,NA,NA,NA
ABT,2010,2010-12-31,-0.08268864787113017,NA,NA,NA,NA
ABT,2011,2011-12-31,0.2177621010108084,NA,NA,NA,NA
ABT,2012,2012-12-31,0.18311610038152293,0,0,0,0
ABT,2013,2013-12-31,0.21546745483486784,NA,NA,NA,NA
ABT,2014,2014-12-31,0.2008365143486253,NA,NA,NA,NA
ABT,2015,2015-12-31,0.01871778389804657,NA,NA,NA,NA
ABT,2016,2016-12-31,-0.12320626062748474,NA,NA,NA,NA
ACAS,2012,2012-12-31,NA,NA,NA,NA,NA
ACAS,2013,2013-12-31,NA,NA,NA,NA,NA
ACAS,2014,2014-12-31,NA,NA,NA,NA,NA
ACAS,2015,2015-12-31,NA,0,0,0,0
ACAS,2016,2016-12-31,NA,NA,NA,NA,NA
ACAS,2017,2017-12-31,NA,NA,NA,NA,NA
ACAS,2018,2018-12-31,NA,NA,NA,NA,NA
ACAS,2019,2019-12-31,NA,NA,NA,NA,NA
ACHC,2009,2009-12-31,-0.1629629629629631,NA,NA,NA,NA
ACHC,2010,2010-12-31,0.47787610619469034,NA,NA,NA,NA
ACHC,2011,2011-12-31,0.4925149700598803,NA,NA,NA,NA
ACHC,2012,2012-12-31,1.260782447342026,0.16,0.16,0,0
ACHC,2013,2013-12-31,0.942141980215758,NA,NA,NA,NA
ACHC,2014,2014-12-31,0.2932600129617573,NA,NA,NA,NA
ACHC,2015,2015-12-31,0.02042150008857213,NA,NA,NA,NA
ACHC,2016,2016-12-31,-0.4700608624729566,NA,NA,NA,NA
ACM,2015,2015-12-31,-0.01119525811013311,NA,NA,NA,NA
ACM,2016,2016-12-31,0.21078920376992327,NA,NA,NA,NA
ACM,2017,2017-12-31,0.02172719962246438,NA,NA,NA,NA
ACM,2018,2018-12-31,-0.2866756777025208,0,0,0,0
ACM,2019,2019-12-31,0.6275472075471697,NA,NA,NA,NA
ACM,2020,2020-12-31,0.15418497208010715,NA,NA,NA,NA
ACM,2021,2021-12-31,0.5439936228202817,NA,NA,NA,NA
ACY,2017,2017-12-31,0.6126984460011824,NA,NA,NA,NA
ACY,2018,2018-12-31,-0.3720472762372404,NA,NA,NA,NA
ACY,2019,2019-12-31,-0.5297804794363442,NA,NA,NA,NA
ACY,2020,2020-12-31,1.388888539209859,0,0,0,0
ACY,2021,2021-12-31,4.81065562262563,NA,NA,NA,NA
ADM,2018,2018-12-31,0.05275852865291286,NA,NA,NA,NA
ADM,2019,2019-12-31,0.17102607227118938,NA,NA,NA,NA
ADM,2020,2020-12-31,0.12440873745492877,NA,NA,NA,NA
ADM,2021,2021-12-31,0.35842351276246576,0,0,0,0
ADP,2014,2014-12-31,0.20349298759850745,NA,NA,NA,NA
ADP,2015,2015-12-31,0.04100718959246907,NA,NA,NA,NA
ADP,2016,2016-12-31,0.24290096406366235,NA,NA,NA,NA
ADP,2017,2017-12-31,0.16541195241713957,0,0,0,0
ADP,2018,2018-12-31,0.14254802780723463,0,0,0,0
ADP,2019,2019-12-31,0.3270769170550114,0,0,0,0
ADP,2020,2020-12-31,0.05856738992299859,NA,NA,NA,NA
ADP,2021,2021-12-31,0.42011649743842927,NA,NA,NA,NA
ADS,1998,1998-12-31,NA,NA,NA,NA,NA
ADS,1999,1999-12-31,NA,NA,NA,NA,NA
ADS,2000,2000-12-31,NA,NA,NA,NA,NA
ADS,2001,2001-12-31,0.4891136075079072,0.23,0.23,0,0
ADS,2002,2002-12-31,-0.074673629133021,NA,NA,NA,NA
ADS,2003,2003-12-31,0.5620768687799269,NA,NA,NA,NA
ADS,2004,2004-12-31,0.7153183668319609,NA,NA,NA,NA
ADS,2005,2005-12-31,-0.2502107628397843,NA,NA,NA,NA
ADXS,2011,2011-12-31,0.2661290322580645,NA,NA,NA,NA
ADXS,2012,2012-12-31,-0.8089171974522293,NA,NA,NA,NA
ADXS,2013,2013-12-31,0.16965513563218382,NA,NA,NA,NA
ADXS,2014,2014-12-31,0.8891510342500326,0,0,0,0
ADXS,2015,2015-12-31,0.255930016547149,NA,NA,NA,NA
ADXS,2016,2016-12-31,-0.28827033618039766,NA,NA,NA,NA
ADXS,2017,2017-12-31,-0.6033519813156056,NA,NA,NA,NA
ADXS,2018,2018-12-31,-0.9330985884083844,NA,NA,NA,NA
AEE,2017,2017-12-31,0.15927923202903438,NA,NA,NA,NA
AEE,2018,2018-12-31,0.139931494096998,NA,NA,NA,NA
AEE,2019,2019-12-31,0.2081531127928915,NA,NA,NA,NA
AEE,2020,2020-12-31,0.04256592515674695,0,0,0,0
AEE,2021,2021-12-31,0.17158992504731563,NA,NA,NA,NA
AERG,2001,2001-12-31,NA,NA,NA,NA,NA
AERG,2002,2002-12-31,NA,NA,NA,NA,NA
AERG,2003,2003-12-31,NA,NA,NA,NA,NA
AERG,2004,2004-12-31,NA,0,0,0,0
AERG,2005,2005-12-31,NA,0,0,0,0
AERG,2006,2006-12-31,NA,0,0,0,0
AERG,2007,2007-12-31,NA,0,0,0,0
AERG,2008,2008-12-31,NA,0,0,0,0
AERG,2009,2009-12-31,NA,0,0,0,0
AERG,2010,2010-12-31,NA,0,0,0,0
AERG,2011,2011-12-31,NA,0,0,0,0
AERG,2012,2012-12-31,NA,0,0,0,0
AERG,2013,2013-12-31,NA,0,0,0,0
AERG,2014,2014-12-31,NA,0,0,0,0
AERG,2015,2015-12-31,NA,0,0,0,0
AERG,2016,2016-12-31,NA,0,0,0,0
AERG,2017,2017-12-31,NA,0,0,0,0
AERG,2018,2018-12-31,NA,1.9,1.9,0,0
AERG,2019,2019-12-31,NA,NA,NA,NA,NA
AERG,2020,2020-12-31,NA,NA,NA,NA,NA
AERG,2021,2021-12-31,5.803519061583577,NA,NA,NA,NA
AES,2012,2012-12-31,-0.10892033201005324,NA,NA,NA,NA
AES,2013,2013-12-31,0.3360187929187619,NA,NA,NA,NA
AES,2014,2014-12-31,-0.03744123027676938,NA,NA,NA,NA
AES,2015,2015-12-31,-0.28204898732460904,0,0,0,0
AES,2016,2016-12-31,0.2638608521592376,NA,NA,NA,NA
AES,2017,2017-12-31,-0.02689418290764578,NA,NA,NA,NA
AES,2018,2018-12-31,0.39020601304658054,NA,NA,NA,NA
AES,2019,2019-12-31,0.421595115990679,NA,NA,NA,NA
AFSI,2007,2007-12-31,0.6227840240834908,NA,NA,NA,NA
AFSI,2008,2008-12-31,-0.14540671700023,NA,NA,NA,NA
AFSI,2009,2009-12-31,0.04027102356818624,NA,NA,NA,NA
AFSI,2010,2010-12-31,0.5100181322875965,0,0,0,0
AFSI,2011,2011-12-31,0.3786604839649856,NA,NA,NA,NA
AFSI,2012,2012-12-31,0.32716990579302974,NA,NA,NA,NA
AFSI,2013,2013-12-31,0.23974535802994423,NA,NA,NA,NA
AFSI,2014,2014-12-31,0.7551100193058202,NA,NA,NA,NA
AGC,2013,2013-12-31,NA,NA,NA,NA,NA
AGC,2014,2014-12-31,NA,NA,NA,NA,NA
AGC,2015,2015-12-31,NA,NA,NA,NA,NA
AGC,2016,2016-12-31,NA,0,0,0,0
AGC,2017,2017-12-31,NA,NA,NA,NA,NA
AGC,2018,2018-12-31,NA,NA,NA,NA,NA
AGC,2019,2019-12-31,NA,NA,NA,NA,NA
AGC,2020,2020-12-31,0.08158116063919252,NA,NA,NA,NA
AGCO,2010,2010-12-31,0.5664809794263133,NA,NA,NA,NA
AGCO,2011,2011-12-31,-0.15179630049380022,NA,NA,NA,NA
AGCO,2012,2012-12-31,0.11868758831946512,NA,NA,NA,NA
AGCO,2013,2013-12-31,0.18565058336356663,16.18,16.18,0,0
AGCO,2014,2014-12-31,-0.2295972041705907,NA,NA,NA,NA
AGCO,2015,2015-12-31,0.01375240868162475,NA,NA,NA,NA
AGCO,2016,2016-12-31,0.28837488761143715,NA,NA,NA,NA
AGCO,2017,2017-12-31,0.24496287432278407,NA,NA,NA,NA
AGN1,2010,2010-12-31,NA,NA,NA,NA,NA
AGN1,2011,2011-12-31,NA,NA,NA,NA,NA
AGN1,2012,2012-12-31,NA,NA,NA,NA,NA
AGN1,2013,2013-12-31,NA,0,0,0,0
AGN1,2014,2014-12-31,NA,0,0,0,0
AGN1,2015,2015-12-31,NA,NA,NA,NA,NA
AGN1,2016,2016-12-31,NA,NA,NA,NA,NA
AGN1,2017,2017-12-31,NA,NA,NA,NA,NA
AGN1,2018,2018-12-31,NA,NA,NA,NA,NA
AHT,2006,2006-12-31,0.26721104608054813,NA,NA,NA,NA
AHT,2007,2007-12-31,-0.3725310353892772,NA,NA,NA,NA
AHT,2008,2008-12-31,-0.8180164117015671,NA,NA,NA,NA
AHT,2009,2009-12-31,3.03478296638506,0,0,0,0
AHT,2010,2010-12-31,1.0797410026564511,NA,NA,NA,NA
AHT,2011,2011-12-31,-0.13381399948097406,NA,NA,NA,NA
AHT,2012,2012-12-31,0.3662751374998212,NA,NA,NA,NA
AHT,2013,2013-12-31,0.17729787654666196,NA,NA,NA,NA
AIG,2012,2012-12-31,0.4905177830579286,NA,NA,NA,NA
AIG,2013,2013-12-31,0.40507389893744006,NA,NA,NA,NA
AIG,2014,2014-12-31,0.10738889595448198,NA,NA,NA,NA
AIG,2015,2015-12-31,0.12149473758061592,0,0,0,0
AIG,2016,2016-12-31,0.07765711596964597,NA,NA,NA,NA
AIG,2017,2017-12-31,-0.06864406077514984,NA,NA,NA,NA
AIG,2018,2018-12-31,-0.3209221137745891,NA,NA,NA,NA
AIG,2019,2019-12-31,0.3358083226437365,NA,NA,NA,NA
AIRC,2017,2017-12-31,NA,NA,NA,NA,NA
AIRC,2018,2018-12-31,NA,NA,NA,NA,NA
AIRC,2019,2019-12-31,NA,NA,NA,NA,NA
AIRC,2020,2020-12-31,0.01212108726260252,0.57,0.57,0,0
AIRC,2021,2021-12-31,0.4667454913996296,NA,NA,NA,NA
AIRT,2011,2011-12-31,-0.1050301607673999,NA,NA,NA,NA
AIRT,2012,2012-12-31,0.01004589780947484,NA,NA,NA,NA
AIRT,2013,2013-12-31,0.4546796204853889,NA,NA,NA,NA
AIRT,2014,2014-12-31,1.1361738095238092,0,0,0,0
AIRT,2015,2015-12-31,-0.04301914268636786,NA,NA,NA,NA
AIRT,2016,2016-12-31,-0.06007361830512403,NA,NA,NA,NA
AIRT,2017,2017-12-31,0.07347821898865692,NA,NA,NA,NA
AIRT,2018,2018-12-31,-0.00769544396691646,NA,NA,NA,NA
AIZ,2013,2013-12-31,0.9056735922237876,NA,NA,NA,NA
AIZ,2014,2014-12-31,0.04776486175864969,NA,NA,NA,NA
AIZ,2015,2015-12-31,0.19941388065177737,NA,NA,NA,NA
AIZ,2016,2016-12-31,0.18192940232963495,0,0,0,0
AIZ,2017,2017-12-31,0.1098306297850673,NA,NA,NA,NA
AIZ,2018,2018-12-31,-0.09179446103404154,NA,NA,NA,NA
AIZ,2019,2019-12-31,0.4978180517362747,NA,NA,NA,NA
AIZ,2020,2020-12-31,0.06094839033572885,NA,NA,NA,NA
ALCO,2001,2001-12-31,0.975999806145766,NA,NA,NA,NA
ALCO,2002,2002-12-31,-0.14104753411757998,NA,NA,NA,NA
ALCO,2003,2003-12-31,0.33280086170297607,NA,NA,NA,NA
ALCO,2004,2004-12-31,0.6834530934158296,0,0,0,0
ALCO,2005,2005-12-31,-0.20353043445790064,0,0,0,0
ALCO,2006,2006-12-31,0.14359175803481028,0,0,0,0
ALCO,2007,2007-12-31,-0.26269313282701057,0,0,0,0
ALCO,2008,2008-12-31,0.14588243586822336,0,0,0,0
ALCO,2009,2009-12-31,-0.2892514027730867,0,0,0,0
ALCO,2010,2010-12-31,-0.1591636783650452,0,0,0,0
ALCO,2011,2011-12-31,-0.1812360300639918,0,0,0,0
ALCO,2012,2012-12-31,0.925385446681245,0,0,0,0
ALCO,2013,2013-12-31,-0.01003726211666611,0,0,0,0
ALCO,2014,2014-12-31,0.29676171907042703,NA,NA,NA,NA
ALCO,2015,2015-12-31,-0.2224039638839889,NA,NA,NA,NA
ALCO,2016,2016-12-31,-0.2921715596577309,NA,NA,NA,NA
ALCO,2017,2017-12-31,0.0951855791964551,NA,NA,NA,NA
ALCSQ,2008,2008-12-31,NA,NA,NA,NA,NA
ALCSQ,2009,2009-12-31,NA,NA,NA,NA,NA
ALCSQ,2010,2010-12-31,NA,NA,NA,NA,NA
ALCSQ,2011,2011-12-31,NA,0,0,0,0
ALCSQ,2012,2012-12-31,NA,0,0,0,0
ALCSQ,2013,2013-12-31,NA,0,0,0,0
ALCSQ,2014,2014-12-31,NA,0,0,0,0
ALCSQ,2015,2015-12-31,NA,NA,NA,NA,NA
ALCSQ,2016,2016-12-31,NA,NA,NA,NA,NA
ALCSQ,2017,2017-12-31,NA,NA,NA,NA,NA
ALCSQ,2018,2018-12-31,NA,NA,NA,NA,NA
ALGT,2012,2012-12-31,0.39459784013330745,NA,NA,NA,NA
ALGT,2013,2013-12-31,0.42681747276274384,NA,NA,NA,NA
ALGT,2014,2014-12-31,0.4520413050096943,NA,NA,NA,NA
ALGT,2015,2015-12-31,0.1333281684654195,0,0,0,0
ALGT,2016,2016-12-31,0.00778380254977428,0,0,0,0
ALGT,2017,2017-12-31,-0.05155461628590696,0,0,0,0
ALGT,2018,2018-12-31,-0.33948248199707143,0,0,0,0
ALGT,2019,2019-12-31,0.7697635857505538,0,0,0,0
ALGT,2020,2020-12-31,0.09317950742987136,0.04,0.04,0,0
ALGT,2021,2021-12-31,-0.00132107373385448,NA,NA,NA,NA
ALK,2000,2000-12-31,-0.14999993010136448,NA,NA,NA,NA
ALK,2001,2001-12-31,-0.02184904078895289,NA,NA,NA,NA
ALK,2002,2002-12-31,-0.2560137569979173,NA,NA,NA,NA
ALK,2003,2003-12-31,0.26050844717069244,0,0,0,0
ALK,2004,2004-12-31,0.22718908934020351,NA,NA,NA,NA
ALK,2005,2005-12-31,0.06658702861338406,NA,NA,NA,NA
ALK,2006,2006-12-31,0.10582297125349371,NA,NA,NA,NA
ALK,2007,2007-12-31,-0.3668351950963282,NA,NA,NA,NA
ALL,2007,2007-12-31,-0.1758137480106835,NA,NA,NA,NA
ALL,2008,2008-12-31,-0.34541188028867986,NA,NA,NA,NA
ALL,2009,2009-12-31,-0.05100094674260336,NA,NA,NA,NA
ALL,2010,2010-12-31,0.0903314827954136,0,0,0,0
ALL,2011,2011-12-31,-0.11359361433790294,0,0,0,0
ALL,2012,2012-12-31,0.49074419741731035,NA,NA,NA,NA
ALL,2013,2013-12-31,0.3525117687647563,NA,NA,NA,NA
ALL,2014,2014-12-31,0.3123349589366431,NA,NA,NA,NA
ALL,2015,2015-12-31,-0.09946654061054427,NA,NA,NA,NA
